alphadecode,alpha,common commensal,BS1Pathogen,urine pathogen
Corynebact. jeikeium (formerly JK),T3358,#N/A,pathogen,#N/A
Corynebacterium species,T3328,#N/A,pathogen,#N/A
Coryneform bacteria,M7222,#N/A,pathogen,#N/A
Cryptococcus neoformans,T8845,#N/A,pathogen,#N/A
Dermabacter hominis,T3337,#N/A,pathogen,#N/A
Desulfovibrio species,M4910,#N/A,pathogen,#N/A
Diphtheroid bacillus,T3332,#N/A,pathogen,#N/A
Enterobacter aerogenes,T5546,#N/A,pathogen,pathogen
Enterobacter cloacae complex,T5547,#N/A,pathogen,pathogen
Enterobacter gergoviae,GENGE,#N/A,pathogen,pathogen
Enterococcus faecalis,T2233,#N/A,pathogen,pathogen
Enterococcus faecium,T2234,#N/A,pathogen,pathogen
Enterococcus hirae,T2100,#N/A,pathogen,pathogen
Escherichia coli,T5555,#N/A,pathogen,pathogen
Escherichia hermannii,M3034,#N/A,pathogen,pathogen
Finegoldia magna,T1152,#N/A,pathogen,pathogen
Fusobacterium nucleatum,T6613,#N/A,pathogen,#N/A
Gemella species,T2209,#N/A,pathogen,#N/A
Gram-positive bacillus,MGPB,#N/A,pathogen,#N/A
Granulicatella adiacens,M6243,#N/A,pathogen,pathogen
Granulicatella adiacens (Abiotrophia adjacens),T2261,#N/A,pathogen,pathogen
Haemophilus influenzae,T6633,#N/A,pathogen,pathogen
Kingella kingae,T6000,#N/A,pathogen,pathogen
Klebsiella oxytoca,T6648,#N/A,pathogen,pathogen
Klebsiella pneumoniae,T6655,#N/A,pathogen,pathogen
Kocuria species,M6040,#N/A,pathogen,#N/A
Lactobacillus species,T3366,#N/A,common commensal,#N/A
Listeria monocytogenes,T3371,#N/A,pathogen,pathogen
Microbacterium species,T2286,#N/A,common commensal,#N/A
Micrococcus luteus,T1138,common commensal,common commensal,pathogen
Micrococcus species,T1130,#N/A,common commensal,#N/A
Mixed anaerobic bacteria,MMAB,#N/A,common commensal,#N/A
Mixed coagulase negative Staphylococci,TMCNS,#N/A,common commensal,#N/A
Moraxella species,M5520,#N/A,pathogen,#N/A
Morganella morganii,T6689,#N/A,pathogen,pathogen
Neisseria gonorrhoeae,T4455,#N/A,pathogen,pathogen
Neisseria meningitidis,T4457,#N/A,pathogen,pathogen
Neisseria species,T4443,#N/A,pathogen,#N/A
Paenibacillus species,T2300,#N/A,pathogen,#N/A
Pantoea species,T5549,#N/A,pathogen,#N/A
Parabacteroides distasonis,T5043,#N/A,pathogen,pathogen
Parvimonas micra,T2205,#N/A,pathogen,#N/A
Peptoniphilus species,M6749,#N/A,pathogen,#N/A
Prevotella bivia,T5520,#N/A,pathogen,pathogen
Propionibacterium acnes,T4432,common commensal,common commensal,pathogen
Propionibacterium species,T4431,#N/A,common commensal,#N/A
Proteus mirabilis,T6688,#N/A,pathogen,pathogen
Providencia stuartii,T6696,#N/A,pathogen,pathogen
Pseudomonas aeruginosa,T7700,#N/A,pathogen,pathogen
Pseudomonas mendocina,T7706,#N/A,pathogen,pathogen
Pseudomonas putida,T7713,#N/A,pathogen,pathogen
Roseomonas species,T5564,#N/A,pathogen,#N/A
Rothia mucilaginosa,M6061,#N/A,pathogen,pathogen
Salmonella Choleraesuis v Decatur,M0319,#N/A,pathogen,#N/A
Salmonella Livingstone,M0329,#N/A,pathogen,#N/A
Salmonella Stanley,M0148,#N/A,pathogen,#N/A
Salmonella Typhi,M0190,#N/A,pathogen,pathogen
Serratia marcescens,T7745,#N/A,pathogen,pathogen
Serratia species,T7743,#N/A,pathogen,#N/A
Skin flora,TSKIN,#N/A,common commensal,#N/A
Staphylococcus aureus,T1122,#N/A,pathogen,pathogen
Staphylococcus capitis,T1131,common commensal,common commensal,pathogen
Staphylococcus -coag. negative,T1117,#N/A,common commensal,#N/A
Staphylococcus epidermidis,T1112,common commensal,common commensal,pathogen
Staphylococcus haemolyticus,T1111,#N/A,common commensal,#N/A
Staphylococcus hominis,T1118,common commensal,common commensal,pathogen
Staphylococcus lugdunensis,T1119,common commensal,common commensal,pathogen
Staphylococcus saprophyticus,T1144,common commensal,common commensal,#N/A
Staphylococcus warneri,T1137,common commensal,common commensal,pathogen
Stenotrophomonas maltophilia (Xanthomonas maltoph),T7704,#N/A,common commensal,#N/A
Strep. agalactiae (group B),T2224,#N/A,common commensal,#N/A
Streptococcus (group C),T2225,#N/A,common commensal,#N/A
Streptococcus (group G),T2226,#N/A,common commensal,#N/A
Streptococcus anginosus group (formerly S.milleri),T2121,#N/A,common commensal,#N/A
Streptococcus bovis group,T2263,#N/A,common commensal,#N/A
Streptococcus bovis I,T2242,#N/A,common commensal,#N/A
Streptococcus dysgalactiae (formerly Group C / G Strep),T2228,#N/A,common commensal,#N/A
Streptococcus gallolyticus subsp pasteurianus (S.bovis biotype II.2),M6227,#N/A,common commensal,#N/A
Streptococcus gordonii,M6239,common commensal,common commensal,pathogen
Streptococcus mitis group,T2262,common commensal,common commensal,pathogen
Streptococcus mutans group,T2247,common commensal,common commensal,pathogen
Streptococcus oralis,T2259,common commensal,common commensal,#N/A
Streptococcus pneumoniae,T2244,#N/A,pathogen,pathogen
Streptococcus pyogenes (Group A),T2222,#N/A,pathogen,#N/A
Streptococcus salivarius group,T2250,common commensal,common commensal,pathogen
Streptococcus sanguinis group,T2120,#N/A,common commensal,#N/A
Streptomyces species,T8874,#N/A,common commensal,#N/A
Turicibacter sanguinis,T3322,#N/A,pathogen,#N/A
Veillonella parvula,T4467,#N/A,pathogen,pathogen
Veillonella species,T4465,#N/A,pathogen,#N/A
Viridans group Streptococcus,T2255,#N/A,pathogen,#N/A
Xanthomonas species,M4745,#N/A,pathogen,#N/A
?Non-epidemic Methicillin Resistant Staph. aureus,#N/A,#N/A,not applicable for BC,#N/A
A coliform organism,#N/A,#N/A,not applicable for BC,#N/A
A yeast - NOT C. albicans,#N/A,#N/A,not applicable for BC,#N/A
Acinetobacter baumannii,#N/A,#N/A,not applicable for BC,pathogen
Acinetobacter calcoaceticus-baumanii complex,#N/A,#N/A,not applicable for BC,#N/A
Acinetobacter johnsonii,#N/A,#N/A,not applicable for BC,pathogen
Acinetobacter species,#N/A,#N/A,not applicable for BC,#N/A
Actinomyces europaeus,#N/A,#N/A,not applicable for BC,#N/A
Actinomyces turicensis,#N/A,#N/A,not applicable for BC,#N/A
Aeromonas veronii complex,#N/A,#N/A,not applicable for BC,#N/A
Anaerobic Gram positive cocci,#N/A,#N/A,not applicable for BC,#N/A
Arcanobacterium haemolyticum,#N/A,#N/A,not applicable for BC,pathogen
Aspergillus fumigatus complex,#N/A,#N/A,not applicable for BC,#N/A
Aspergillus nidulans complex,#N/A,#N/A,not applicable for BC,#N/A
Aspergillus niger,#N/A,#N/A,not applicable for BC,#N/A
Aspergillus niger complex,#N/A,#N/A,not applicable for BC,#N/A
Aspergillus terreus,#N/A,#N/A,not applicable for BC,#N/A
Bacteroides thetaiotaomicron,#N/A,#N/A,not applicable for BC,pathogen
Candida glabrata ( T. glabrata),#N/A,#N/A,not applicable for BC,#N/A
Candida species (NOT Candida albicans),#N/A,#N/A,not applicable for BC,#N/A
Candida tropicalis,#N/A,#N/A,not applicable for BC,#N/A
Citrobacter freundii,#N/A,#N/A,not applicable for BC,pathogen
Citrobacter freundii complex,#N/A,#N/A,not applicable for BC,pathogen
Citrobacter koseri (diversus),#N/A,#N/A,not applicable for BC,#N/A
Corynebacterium amycolatum,#N/A,common commensal,not applicable for BC,pathogen
Corynebacterium pseudodiphtheriticum,#N/A,#N/A,not applicable for BC,#N/A
Corynebacterium urealyticum,#N/A,common commensal,not applicable for BC,pathogen
Eikenella corrodens,#N/A,#N/A,not applicable for BC,pathogen
Enterobacter cloacae,#N/A,#N/A,not applicable for BC,pathogen
Enterobacter species,#N/A,#N/A,not applicable for BC,pathogen
Enterococcus species,#N/A,#N/A,not applicable for BC,pathogen
Finegoldia species,#N/A,#N/A,not applicable for BC,#N/A
Fusarium oxysporum,#N/A,#N/A,not applicable for BC,#N/A
Gardnerella vaginalis,#N/A,#N/A,not applicable for BC,pathogen
Gemella morbillorum,#N/A,#N/A,not applicable for BC,#N/A
Hafnia alvei,#N/A,#N/A,not applicable for BC,pathogen
Klebsiella pneumoniae spp pneumoniae,#N/A,#N/A,not applicable for BC,pathogen
Massilia timonae,#N/A,#N/A,not applicable for BC,#N/A
Moraxella catarrhalis,#N/A,#N/A,not applicable for BC,pathogen
Mucor ramosissimus,#N/A,#N/A,not applicable for BC,#N/A
Mucor species,#N/A,#N/A,not applicable for BC,#N/A
Pantoea agglomerans,#N/A,#N/A,not applicable for BC,pathogen
Pasteurella canis,#N/A,#N/A,not applicable for BC,pathogen
Pasteurella multocida,#N/A,#N/A,not applicable for BC,#N/A
Pasteurella species,#N/A,#N/A,not applicable for BC,#N/A
Penicillium species,#N/A,#N/A,not applicable for BC,#N/A
Peptostreptococcus anaerobius,#N/A,#N/A,not applicable for BC,pathogen
Peptostreptococcus species,#N/A,#N/A,not applicable for BC,#N/A
Preliminary ID not confirmed,#N/A,#N/A,not applicable for BC,#N/A
Prevotella (Bacteroides) sp.,#N/A,#N/A,not applicable for BC,#N/A
Prevotella denticola,#N/A,#N/A,not applicable for BC,pathogen
Proteus penneri,#N/A,#N/A,not applicable for BC,pathogen
Proteus species,#N/A,#N/A,not applicable for BC,#N/A
Proteus vulgaris,#N/A,#N/A,not applicable for BC,pathogen
Providencia rettgeri,#N/A,#N/A,not applicable for BC,pathogen
Pseudomonas aeruginosa (mucoid),#N/A,#N/A,not applicable for BC,pathogen
Pseudomonas luteola,#N/A,#N/A,not applicable for BC,pathogen
Pseudomonas species,#N/A,#N/A,not applicable for BC,#N/A
Pseudomonas stutzeri,#N/A,#N/A,not applicable for BC,pathogen
Raoultella (Klebsiella) ornithinolytica,#N/A,#N/A,not applicable for BC,#N/A
Rhodotorula mucilaginosa (formerly rubra),#N/A,#N/A,not applicable for BC,#N/A
Rothia species,#N/A,#N/A,not applicable for BC,#N/A
Salmonella Saintpaul,#N/A,#N/A,not applicable for BC,#N/A
Scedosporium apiospermum,#N/A,#N/A,not applicable for BC,#N/A
Scedosporium apiospermum complex,#N/A,#N/A,not applicable for BC,#N/A
Scedosporium prolificans,#N/A,#N/A,not applicable for BC,#N/A
Scedosporium prolificans (S. inflatum),#N/A,#N/A,not applicable for BC,#N/A
Serratia liquefaciens,#N/A,#N/A,not applicable for BC,pathogen
Staphylococcus pseudintermedius,#N/A,#N/A,not applicable for BC,#N/A
Streptococcus mitis,#N/A,common commensal,not applicable for BC,pathogen
Syncephalastrum species,#N/A,#N/A,not applicable for BC,#N/A
Trichophyton tonsurans,#N/A,#N/A,not applicable for BC,#N/A
Trueperella bernardiae,#N/A,#N/A,not applicable for BC,#N/A
Vancomycin resistant Enterococcus faecium vanA,#N/A,#N/A,not applicable for BC,#N/A
Vancomycin resistant Enterococcus faecium vanB,#N/A,#N/A,not applicable for BC,#N/A
